layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,1280,960,
"report#backless_text_subpopup",638,353,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"<labels>,p",0,0,0,0,,"",,,"",,,""
"cancel#button_normal_text",470,631,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"report2#button_normal_text",470,577,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"report1#button_normal_text",470,523,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"report0#button_highlight_text",470,469,1,1,#E75828,"l",30,100,"Arimo-Bold",,,""
"</labels>,p",0,0,0,0,,"",,,"",,,""
"<buttons>,p",0,0,0,0,,"",,,"",,,""
"button4,p",402,602,470,38,,"",,,"",,,""
"button3,p",402,548,470,38,,"",,,"",,,""
"narrow_off#button_normal_background#button_normal_border",402,494,470,38,,"",,,"",,,""
"narrow_on#button_highlight_background#button_highlight_border",402,440,470,38,,"",,,"",,,""
"</buttons>,p",0,0,0,0,,"",,,"",,,""
"subpopup$theme_assets",305,232,664,494,,"",,,"",,,""
"modal,p",0,0,0,0,,"",,,"",,,""
