layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,1280,960,
"header,pm",280,197,710,6,,"",,,"",,,""
"header#backless_text_subpopup",623,210,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"truncate,p",313,267,624,6,,"",,,"",,,""
"<tint_text>,p",0,0,0,0,,"",,,"",,,""
"<labels>,p",0,0,0,0,,"",,,"",,,""
"button6#button_normal_text",623,700,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"button5#button_normal_text",623,630,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"button4#button_normal_text",623,560,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"button3#button_normal_text",623,490,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"button2#button_highlight_locked",623,420,1,1,#00FFFA,"c",30,100,"Arimo-Bold",,,""
"button1#button_normal_text",623,350,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"button0#button_highlight_text",623,280,1,1,#E75828,"c",30,100,"Arimo-Bold",,,""
"</labels>,p",0,0,0,0,,"",,,"",,,""
"<art>,p",0,0,0,0,,"",,,"",,,""
"button6,p",259,666,755,50,,"",,,"",,,""
"button5,p",259,596,755,50,,"",,,"",,,""
"button4,p",259,526,755,50,,"",,,"",,,""
"button3,p",259,456,755,50,,"",,,"",,,""
"button2,p",259,386,755,50,,"",,,"",,,""
"wide_off#button_normal_background#button_normal_border",259,316,755,50,,"",,,"",,,""
"wide_on#button_highlight_background#button_highlight_border",259,246,755,50,,"",,,"",,,""
"</art>,p",0,0,0,0,,"",,,"",,,""
"<action>,p",0,0,0,0,,"",,,"",,,""
"more#button_normal_text",895,772,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"button_off#button_normal_background#button_normal_border",776,736,238,50,,"",,,"",,,""
"cancel_caps#button_normal_text",636,772,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"button_off#button_normal_background#button_normal_border",517,736,238,50,,"",,,"",,,""
"less#button_highlight_text",378,772,1,1,#E75828,"c",30,100,"Arimo-Bold",,,""
"button_on#button_highlight_background#button_highlight_border",259,736,238,50,,"",,,"",,,""
"</action>,p",0,0,0,0,,"",,,"",,,""
"</tint_text>,p",0,0,0,0,,"",,,"",,,""
"settings$theme_assets",183,139,906,684,,"",,,"",,,""
"modal,p",0,0,0,0,,"",,,"",,,""
