layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,1280,960,
"<tint_text>,p",0,0,0,0,,"",,,"",,,""
"<values>,p",0,0,0,0,,"",,,"",,,""
"value9#backless_text_live",1161,484,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value8#backless_text_live",1161,441,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value7#backless_text_live",1161,393,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value6#backless_text_live",1161,350,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value5#backless_text_live",1161,307,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value4#backless_text_live",1161,264,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value3#backless_text_live",1161,221,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value2#button_highlight_locked",1161,178,1,1,#00FFFA,"r",30,100,"Arimo-Bold",,,""
"value1#backless_text_live",1161,135,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value0#button_highlight_text",1161,92,1,1,#E75828,"r",30,100,"Arimo-Bold",,,""
"</values>,p",0,0,0,0,,"",,,"",,,""
"<labels>,p",0,0,0,0,,"",,,"",,,""
"label9#backless_text_live",543,486,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"label8#backless_text_live",543,443,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"label7#backless_text_live",543,395,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"label6#backless_text_live",543,350,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"label5#backless_text_live",543,307,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"label4#backless_text_live",543,264,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"label3#backless_text_live",543,221,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"label2#button_highlight_locked",543,178,1,1,#00FFFA,"l",30,100,"Arimo-Bold",,,""
"label1#backless_text_live",543,135,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"label0#button_highlight_text",543,92,1,1,#E75828,"l",30,100,"Arimo-Bold",,,""
"</labels>,p",0,0,0,0,,"",,,"",,,""
"</tint_text>,p",0,0,0,0,,"",,,"",,,""
"#button_highlight_background#button_highlight_border,p",0,0,0,0,,"",,,"",,,""
"right_highlight",522,59,661,48,,"",,,"",,,""
"gap,p",693,163,30,6,,"",,,"",,,""
