layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,960,1280,
"<dont_autoload>,p",0,0,0,0,,"",,,"",,,""
"controls12",0,0,960,1280,,"",,,"",,,""
"controls11",0,0,960,1280,,"",,,"",,,""
"controls10",0,0,960,1280,,"",,,"",,,""
"controls9",0,0,960,1280,,"",,,"",,,""
"controls8",0,0,960,1280,,"",,,"",,,""
"controls7",0,0,960,1280,,"",,,"",,,""
"controls6",0,0,960,1280,,"",,,"",,,""
"controls5",0,0,960,1280,,"",,,"",,,""
"controls4",0,0,960,1280,,"",,,"",,,""
"controls3",0,0,960,1280,,"",,,"",,,""
"controls2",0,0,960,1280,,"",,,"",,,""
"controls1",0,0,960,1280,,"",,,"",,,""
"</dont_autoload>,p",0,0,0,0,,"",,,"",,,""
"<overlays>,p",0,0,0,0,,"",,,"",,,""
"subpopup",149,393,661,494,,"",,,"",,,""
"peer",154,336,654,608,,"",,,"",,,""
"settings",0,237,960,804,,"",,,"",,,""
"online",0,0,960,1280,,"",,,"",,,""
"</overlays>,p",0,0,0,0,,"",,,"",,,""
"<logo_on>,p",0,0,0,0,,"",,,"",,,""
"<page2>,p",0,0,0,0,,"",,,"",,,""
"logo12_on",135,914,282,125,,"",,,"",,,""
"logo11_on",135,757,266,130,,"",,,"",,,""
"logo10_on",132,663,279,96,,"",,,"",,,""
"logo9_on",135,528,271,97,,"",,,"",,,""
"logo8_on",140,402,258,89,,"",,,"",,,""
"logo7_on",128,291,281,75,,"",,,"",,,""
"</page2>,p",0,0,0,0,,"",,,"",,,""
"<page1>,p",0,0,0,0,,"",,,"",,,""
"logo6_on",135,934,278,81,,"",,,"",,,""
"logo5_on",159,796,232,130,,"",,,"",,,""
"logo4_on",145,659,253,131,,"",,,"",,,""
"logo3_on",131,537,284,91,,"",,,"",,,""
"logo2_on",144,407,257,86,,"",,,"",,,""
"logo1_on",135,249,276,114,,"",,,"",,,""
"</page1>,p",0,0,0,0,,"",,,"",,,""
"</logo_on>,p",0,0,0,0,,"",,,"",,,""
"<logo_off>,p",0,0,0,0,,"",,,"",,,""
"<page2>,p",0,0,0,0,,"",,,"",,,""
"logo12_off",135,914,282,125,,"",,,"",,,""
"logo11_off",135,757,266,130,,"",,,"",,,""
"logo10_off",132,663,279,96,,"",,,"",,,""
"logo9_off",135,529,271,96,,"",,,"",,,""
"logo8_off",140,402,258,89,,"",,,"",,,""
"logo7_off",128,291,281,75,,"",,,"",,,""
"</page2>,p",0,0,0,0,,"",,,"",,,""
"<page1>,p",0,0,0,0,,"",,,"",,,""
"logo6_off",135,934,278,81,,"",,,"",,,""
"logo5_off",159,796,232,130,,"",,,"",,,""
"logo4_off",145,659,253,131,,"",,,"",,,""
"logo3_off",131,537,284,91,,"",,,"",,,""
"logo2_off",144,407,257,86,,"",,,"",,,""
"logo1_off",135,249,276,114,,"",,,"",,,""
"</page1>,p",0,0,0,0,,"",,,"",,,""
"</logo_off>,p",0,0,0,0,,"",,,"",,,""
"<settings_highlight>,p",0,0,0,0,,"",,,"",,,""
"settings_highlight",25,883,444,184,,"",,,"",,,""
"settings_highlight",25,753,444,184,,"",,,"",,,""
"settings_highlight",25,623,444,184,,"",,,"",,,""
"settings_highlight",25,493,444,184,,"",,,"",,,""
"settings_highlight",25,363,444,184,,"",,,"",,,""
"settings_highlight",25,233,444,184,,"",,,"",,,""
"</settings_highlight>,p",0,0,0,0,,"",,,"",,,""
"<game_highlight>,p",0,0,0,0,,"",,,"",,,""
"game_highlight",25,883,444,184,,"",,,"",,,""
"game_highlight",25,753,444,184,,"",,,"",,,""
"game_highlight",25,623,444,184,,"",,,"",,,""
"game_highlight",25,493,444,184,,"",,,"",,,""
"game_highlight",25,363,444,184,,"",,,"",,,""
"game_highlight",25,233,444,184,,"",,,"",,,""
"</game_highlight>,p",0,0,0,0,,"",,,"",,,""
"<score_highlight>,p",0,0,0,0,,"",,,"",,,""
"score_highlight",25,883,444,184,,"",,,"",,,""
"score_highlight",25,753,444,184,,"",,,"",,,""
"score_highlight",25,623,444,184,,"",,,"",,,""
"score_highlight",25,493,444,184,,"",,,"",,,""
"score_highlight",25,363,444,184,,"",,,"",,,""
"score_highlight",25,233,444,184,,"",,,"",,,""
"</score_highlight>,p",0,0,0,0,,"",,,"",,,""
"<unselected>,p",0,0,0,0,,"",,,"",,,""
"unselected",25,911,396,108,,"",,,"",,,""
"unselected",25,781,396,108,,"",,,"",,,""
"unselected",25,651,396,108,,"",,,"",,,""
"unselected",25,521,396,108,,"",,,"",,,""
"unselected",25,391,396,108,,"",,,"",,,""
"unselected",25,261,396,108,,"",,,"",,,""
"</unselected>,p",0,0,0,0,,"",,,"",,,""
"panel_on",463,212,474,874,,"",,,"",,,""
"panel_off",463,212,474,874,,"",,,"",,,""
"background",0,0,960,1280,,"",,,"",,,""
