layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,1280,960,
"<box3>,p",0,0,0,0,,"",,,"",,,""
"queue,r",82,350,4,20,#FFFFFFFF,"",,,"",,,""
"in0,r",878,349,4,10,#FFFFFFFF,"",,,"",,,""
"in1,r",878,369,4,10,#FFFFFFFF,"",,,"",,,""
"in2,r",878,389,4,20,#FFFFFFFF,"",,,"",,,""
"value",639,402,1,1,#00FFFA,"c",30,100,"Arimo-Bold",,,""
"name",639,370,1,1,#00FFFA,"c",30,100,"Arimo-Bold",,,""
"back,r",68,334,1145,91,#9903143A,"",,,"",,,""
"</box3>,p",0,0,0,0,,"",,,"",,,""
"<box2>,p",0,0,0,0,,"",,,"",,,""
"queue,r",82,250,4,20,#FFFFFFFF,"",,,"",,,""
"in0,r",878,249,4,10,#FFFFFFFF,"",,,"",,,""
"in1,r",878,269,4,20,#FFFFFFFF,"",,,"",,,""
"in2,r",878,299,4,10,#FFFFFFFF,"",,,"",,,""
"value",639,302,1,1,#00FFFA,"c",30,100,"Arimo-Bold",,,""
"name",639,270,1,1,#00FFFA,"c",30,100,"Arimo-Bold",,,""
"back,r",68,234,1145,91,#9903143A,"",,,"",,,""
"</box2>,p",0,0,0,0,,"",,,"",,,""
"<box1>,p",0,0,0,0,,"",,,"",,,""
"queue,r",82,150,4,20,#FFFFFFFF,"",,,"",,,""
"in0,r",878,149,4,20,#FFFFFFFF,"",,,"",,,""
"in1,r",878,179,4,10,#FFFFFFFF,"",,,"",,,""
"in2,r",878,199,4,10,#FFFFFFFF,"",,,"",,,""
"value",639,202,1,1,#00FFFA,"c",30,100,"Arimo-Bold",,,""
"name",639,170,1,1,#00FFFA,"c",30,100,"Arimo-Bold",,,""
"back,r",68,134,1145,91,#9903143A,"",,,"",,,""
"</box1>,p",0,0,0,0,,"",,,"",,,""
"<box0>,p",0,0,0,0,,"",,,"",,,""
"queue,r",82,50,4,20,#FFFFFFFF,"",,,"",,,""
"step,p",87,50,4,20,,"",,,"",,,""
"value",639,102,1,1,#00FFFA,"c",30,100,"Arimo-Bold",,,""
"hosting",1199,100,1,1,#00FFFA,"r",30,100,"Arimo-Bold",,,""
"peer_label",1199,70,1,1,#00FFFA,"r",30,100,"Arimo-Bold",,,""
"name",639,70,1,1,#00FFFA,"c",30,100,"Arimo-Bold",,,""
"back,r",68,34,1145,91,#9903143A,"",,,"",,,""
"</box0>,p",0,0,0,0,,"",,,"",,,""
