layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,1280,960,
"netcode,p",214,715,842,86,,"",,,"",,,""
"netcode#backless_text_popup",636,737,1,1,#808E92AC,"c",24,100,"Arimo",,,""
"<tint_text>,p",0,0,0,0,,"",,,"",,,""
"rollback_top#netcode_highlight_rollback,r",638,659,342,3,#FF0080FF,"",,,"",,,""
"rollback_tip#netcode_rollback,r",971,648,3,14,#FF0080FF,"",,,"",,,""
"rollback_right#netcode_highlight_rollback,r",977,659,3,11,#FF0080FF,"",,,"",,,""
"rollback_left#netcode_rollback,r",638,660,3,10,#FF0080FF,"",,,"",,,""
"input_delay_top#netcode_highlight_input_delay,r",293,659,342,3,#FFFF8000,"",,,"",,,""
"input_delay_right#netcode_highlight_variable,r",632,660,3,10,#FFFF8000,"",,,"",,,""
"input_delay_tip#netcode_input_delay,r",299,648,3,14,#FFFF8000,"",,,"",,,""
"input_delay_left#netcode_variable,r",293,659,3,11,#FFFF8000,"",,,"",,,""
"netcode_ping1#netcode_highlight_ping_off,r",303,676,8,16,#FF000000,"",,,"",,,""
"netcode_ping0#netcode_highlight_ping_on,r",295,676,8,16,#FFFFFFFF,"",,,"",,,""
"netcode_step,p",316,674,20,20,,"",,,"",,,""
"netcode#netcode_ping_off,r",293,674,20,20,#FFFFFFFF,"",,,"",,,""
"netcode_ping#netcode_ping_on",636,642,1,1,#FFFFFF,"l",24,100,"Arimo",,,""
"netcode_rollback#netcode_rollback",980,642,1,1,#0080FF,"r",24,100,"Arimo",,,""
"netcode_input_delay#netcode_input_delay",290,642,1,1,#FF8000,"l",24,100,"Arimo",,,""
"netcode_on#button_highlight_background#button_highlight_border",259,610,755,99,,"",,,"",,,""
"netcode_off#button_normal_background#button_normal_border",259,610,755,99,,"",,,"",,,""
"</tint_text>,p",0,0,0,0,,"",,,"",,,""
