layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,1280,960,
"ping#backless_text_ping",638,682,1,1,#EC443A,"c",30,100,"Arimo-Bold",,,""
"peer#backless_text_subpopup",638,298,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"<labels>,p",0,0,0,0,,"",,,"",,,""
"mute#button_normal_text",470,632,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"report#button_normal_text",470,584,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"block#button_normal_text",470,536,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"kick#button_normal_text",470,488,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"friend#button_normal_text",470,440,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"hide_lower#button_highlight_text",470,392,1,1,#E75828,"l",30,100,"Arimo-Bold",,,""
"</labels>,p",0,0,0,0,,"",,,"",,,""
"<buttons>,p",0,0,0,0,,"",,,"",,,""
"button6,p",402,603,470,38,,"",,,"",,,""
"button5,p",402,555,470,38,,"",,,"",,,""
"button4,p",402,507,470,38,,"",,,"",,,""
"button3,p",402,459,470,38,,"",,,"",,,""
"narrow_off#button_normal_background#button_normal_border",402,411,470,38,,"",,,"",,,""
"narrow_on#button_highlight_background#button_highlight_border",402,363,470,38,,"",,,"",,,""
"</buttons>,p",0,0,0,0,,"",,,"",,,""
"peer$theme_assets",367,233,538,491,,"",,,"",,,""
"modal,p",0,0,1280,960,,"",,,"",,,""
