layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,1280,960,
"suberror,pm",400,395,475,11,,"",,,"",,,""
"suberror#backless_text_subpopup",638,381,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"<labels>,p",0,0,0,0,,"",,,"",,,""
"ok#button_highlight_text",472,577,1,1,#E75828,"l",30,100,"Arimo-Bold",,,""
"</labels>,p",0,0,0,0,,"",,,"",,,""
"<buttons>,p",0,0,0,0,,"",,,"",,,""
"narrow_on#button_highlight_background#button_highlight_border",402,548,470,38,,"",,,"",,,""
"</buttons>,p",0,0,0,0,,"",,,"",,,""
"subpopup$theme_assets",368,295,538,369,,"",,,"",,,""
"modal,p",0,0,1280,960,,"",,,"",,,""
