layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,1280,960,
"visibility#backless_text_subpoup",638,378,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"visibility2",472,566,27,27,,"",,,"",,,""
"visibility1",472,502,27,27,,"",,,"",,,""
"visibility0",472,438,27,27,,"",,,"",,,""
"<labels>,p",0,0,0,0,,"",,,"",,,""
"visible2#button_normal_text",512,590,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"visible1#button_normal_text",512,526,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"visible0#button_highlight_text",512,462,1,1,#E75828,"l",30,100,"Arimo-Bold",,,""
"</labels>,p",0,0,0,0,,"",,,"",,,""
"<buttons>,p",0,0,0,0,,"",,,"",,,""
"button3,p",402,561,470,38,,"",,,"",,,""
"narrow_off#button_normal_background#button_normal_border",402,497,470,38,,"",,,"",,,""
"narrow_on#button_highlight_background#button_highlight_border",402,433,470,38,,"",,,"",,,""
"</buttons>,p",0,0,0,0,,"",,,"",,,""
"subpopup$theme_assets",368,295,538,369,,"",,,"",,,""
"modal,p",0,0,1280,960,,"",,,"",,,""
