layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,1280,960,
"help,p",263,858,939,5,,"",,,"",,,""
"help#backless_text_hint",263,868,1,1,#8E92AC,"l",24,100,"Arimo",,,""
"<status_box>,p",0,0,0,0,,"",,,"",,,""
"visible",341,672,1,1,#8E92AC,"l",24,100,"Arimo-Bold",,,""
"visible_shadow",341,677,1,1,#000000,"l",24,100,"Arimo-Bold",,,""
"status_settings,p",262,633,445,170,,"",,,"",,,""
"status_highlight,p",262,633,445,170,,"",,,"",,,""
"status_unselected,p",262,633,445,170,,"",,,"",,,""
"status_focus,r",0,0,1280,960,#AB000000,"",,,"",,,""
"</status_box>,p",0,0,0,0,,"",,,"",,,""
"online_help,pm",796,429,406,6,,"",,,"",,,""
"online_help#backless_text_error",998,439,1,1,#E75828,"c",24,100,"Arimo",,,""
"panel_on_gap,p",783,558,434,30,,"",,,"",,,""
"panel_on,p",761,67,476,735,,"",,,"",,,""
"panel_off_gap,p",783,558,434,30,,"",,,"",,,""
"panel_off,p",761,67,476,735,,"",,,"",,,""
"panel_none,p",0,0,0,0,,"",,,"",,,""
"panel_gap,p",1012,467,6,6,,"",,,"",,,""
"background,p",0,0,1280,960,,"",,,"",,,""
"modal,p",0,0,0,0,,"",,,"",,,""
