layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,1280,960,
"<fixed>,p",0,0,0,0,,"",,,"",,,""
"available_ban#score_header_normal",1000,761,1,1,#8E92AC,"c",24,100,"Arimo",,,""
"</fixed>,p",0,0,0,0,,"",,,"",,,""
"<tint_text>,p",0,0,0,0,,"",,,"",,,""
"loading#score_normal_text",1000,731,1,1,#8E92AC,"c",24,100,"Arimo",,,""
"panel_empty#score_normal_text",1000,731,1,1,#8E92AC,"c",24,100,"Arimo",,,""
"step#score_me_text",841,791,1,1,#8E92AC,"l",24,100,"Arimo",,,""
"favourite#score_normal_favourite",801,743,9,9,,"",,,"",,,""
"<row>,p",0,0,0,0,,"",,,"",,,""
"column2#score_cursor_text",1182,761,1,1,#E75828,"r",24,100,"Arimo",,,""
"column1#score_cursor_text",1058,761,1,1,#E75828,"r",24,100,"Arimo",,,""
"name#score_cursor_text",811,761,1,1,#E75828,"l",24,100,"Arimo",,,""
"</row>,p",0,0,0,0,,"",,,"",,,""
"<underline>,p",0,0,0,0,,"",,,"",,,""
"last_seen_underline#score_normal_text,r",1080,735,103,2,#FF8E92AC,"",,,"",,,""
"free_spots_underline#score_normal_text,r",946,735,113,2,#FF8E92AC,"",,,"",,,""
"name_underline#score_normal_text,r",812,735,65,2,#FF8E92AC,"",,,"",,,""
"</underline>,p",0,0,0,0,,"",,,"",,,""
"<header>,p",0,0,0,0,,"",,,"",,,""
"last_seen_header#score_normal_text",1182,731,1,1,#8E92AC,"r",24,100,"Arimo",,,""
"free_spots_header#score_normal_text",1058,731,1,1,#8E92AC,"r",24,100,"Arimo",,,""
"name_header#score_normal_text",798,731,1,1,#8E92AC,"l",24,100,"Arimo",,,""
"</header>,p",0,0,0,0,,"",,,"",,,""
"border_on#score_box_highlight",782,643,435,140,,"",,,"",,,""
"border_off#score_box_normal",782,643,435,140,,"",,,"",,,""
"panel_highlight#score_cursor_background#score_cursor_border",782,736,435,34,,"",,,"",,,""
"border,p",793,654,412,118,,"",,,"",,,""
"header_highlight#score_header_highlight,r",977,426,44,39,#FFFF499A,"",,,"",,,""
"join_list#score_header_normal",1000,686,1,1,#E75828,"c",30,100,"Arimo-Bold",,,""
"join_list#score_header_shadow",1000,691,1,1,#000000,"c",30,100,"Arimo-Bold",,,""
"</tint_text>,p",0,0,0,0,,"",,,"",,,""
