layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,1280,960,
"<tint_text>,p",0,0,0,0,,"",,,"",,,""
"loading#score_normal_text",1000,174,1,1,#8E92AC,"c",24,100,"Arimo",,,""
"step#score_me_text",889,204,1,1,#8E92AC,"l",24,100,"Arimo",,,""
"<row>,p",0,0,0,0,,"",,,"",,,""
"column2#score_cursor_text",1182,174,1,1,#E75828,"r",24,100,"Arimo",,,""
"name#score_cursor_text",869,174,1,1,#E75828,"l",24,100,"Arimo",,,""
"column1#score_cursor_text",811,174,1,1,#E75828,"l",24,100,"Arimo",,,""
"</row>,p",0,0,0,0,,"",,,"",,,""
"favourite#score_normal_favourite",801,156,9,9,,"",,,"",,,""
"border_on#score_box_highlight",782,86,435,140,,"",,,"",,,""
"border_off#score_box_normal",782,86,435,140,,"",,,"",,,""
"panel_highlight#score_cursor_background#score_cursor_border",782,149,435,34,,"",,,"",,,""
"my_score#score_me_background#score_me_border",782,149,435,34,,"",,,"",,,""
"border,p",793,97,412,118,,"",,,"",,,""
"header_highlight#score_header_highlight,r",977,426,44,39,#FFFF499A,"",,,"",,,""
"board_global#score_header_normal",1000,129,1,1,#E75828,"c",30,100,"Arimo-Bold",,,""
"board_global#score_header_shadow",1000,134,1,1,#000000,"c",30,100,"Arimo-Bold",,,""
"</tint_text>,p",0,0,0,0,,"",,,"",,,""
