layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,1024,1280,
"<dont_autoload>,p",0,0,0,0,,"",,,"",,,""
"</dont_autoload>,p",0,0,0,0,,"",,,"",,,""
"<overlays>,p",0,0,0,0,,"",,,"",,,""
"subpopup",197,408,633,465,,"",,,"",,,""
"peer",197,345,633,589,,"",,,"",,,""
"settings",10,248,1000,783,,"",,,"",,,""
"online",0,0,1024,1280,,"",,,"",,,""
"default_overlays,p",32,0,960,1280,,"",,,"",,,""
"default,p",48,0,960,1280,,"",,,"",,,""
"</overlays>,p",0,0,0,0,,"",,,"",,,""
"<logo_off>,p",0,0,0,0,,"",,,"",,,""
"<logo_on>,p",0,0,0,0,,"",,,"",,,""
"<page2>,p",0,0,0,0,,"",,,"",,,""
"logo14_on",187,961,235,134,,"",,,"",,,""
"logo13_on",184,856,252,87,,"",,,"",,,""
"logo12_on",177,728,261,90,,"",,,"",,,""
"logo11_on",172,602,274,89,,"",,,"",,,""
"logo10_on",178,480,250,84,,"",,,"",,,""
"logo9_on",170,376,271,66,,"",,,"",,,""
"logo8_on",169,236,270,80,,"",,,"",,,""
"</page2>,p",0,0,0,0,,"",,,"",,,""
"<page1>,p",0,0,0,0,,"",,,"",,,""
"logo7_on",157,966,276,140,,"",,,"",,,""
"logo6_on",159,844,270,108,,"",,,"",,,""
"logo5_on",166,752,274,64,,"",,,"",,,""
"logo4_on",167,602,272,104,,"",,,"",,,""
"logo3_on",160,472,272,102,,"",,,"",,,""
"logo2_on",166,374,274,71,,"",,,"",,,""
"logo1_on",173,234,267,83,,"",,,"",,,""
"</page1>,p",0,0,0,0,,"",,,"",,,""
"</logo_on>,p",0,0,0,0,,"",,,"",,,""
"</logo_off>,p",0,0,0,0,,"",,,"",,,""
"<settings_highlight>,p",0,0,0,0,,"",,,"",,,""
"settings_highlight",65,962,451,108,,"",,,"",,,""
"settings_highlight",65,837,451,108,,"",,,"",,,""
"settings_highlight",65,712,451,108,,"",,,"",,,""
"settings_highlight",65,587,451,108,,"",,,"",,,""
"settings_highlight",65,462,451,108,,"",,,"",,,""
"settings_highlight",65,337,451,108,,"",,,"",,,""
"settings_highlight",65,212,451,108,,"",,,"",,,""
"</settings_highlight>,p",0,0,0,0,,"",,,"",,,""
"<game_highlight>,p",0,0,0,0,,"",,,"",,,""
"game_highlight",65,962,451,108,,"",,,"",,,""
"game_highlight",65,837,451,108,,"",,,"",,,""
"game_highlight",65,712,451,108,,"",,,"",,,""
"game_highlight",65,587,451,108,,"",,,"",,,""
"game_highlight",65,462,451,108,,"",,,"",,,""
"game_highlight",65,337,451,108,,"",,,"",,,""
"game_highlight",65,212,451,108,,"",,,"",,,""
"</game_highlight>,p",0,0,0,0,,"",,,"",,,""
"<score_highlight>,p",0,0,0,0,,"",,,"",,,""
"score_highlight",65,962,451,108,,"",,,"",,,""
"score_highlight",65,837,451,108,,"",,,"",,,""
"score_highlight",65,712,451,108,,"",,,"",,,""
"score_highlight",65,587,451,108,,"",,,"",,,""
"score_highlight",65,462,451,108,,"",,,"",,,""
"score_highlight",65,337,451,108,,"",,,"",,,""
"score_highlight",65,212,451,108,,"",,,"",,,""
"</score_highlight>,p",0,0,0,0,,"",,,"",,,""
"<unselected>,p",0,0,0,0,,"",,,"",,,""
"unselected",65,964,382,104,,"",,,"",,,""
"unselected",65,839,382,104,,"",,,"",,,""
"unselected",65,714,382,104,,"",,,"",,,""
"unselected",65,589,382,104,,"",,,"",,,""
"unselected",65,464,382,104,,"",,,"",,,""
"unselected",65,338,382,105,,"",,,"",,,""
"unselected",65,214,382,104,,"",,,"",,,""
"</unselected>,p",0,0,0,0,,"",,,"",,,""
"panel_on",511,212,474,874,,"",,,"",,,""
"panel_off",511,212,474,874,,"",,,"",,,""
"background",0,0,1024,1280,,"",,,"",,,""
