layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,960,1280,
"cursor#typebox_cursor",188,765,11,40,,"",,,"",,,""
"<tint_text>,p",0,0,0,0,,"",,,"",,,""
"help,pm",102,780,770,7,,"",,,"",,,""
"help#typebox_help",103,793,1,1,#80000000,"l",24,100,"Arimo",,,""
"limit,p",92,781,770,7,,"",,,"",,,""
"type#typebox_text",93,794,1,1,#000000,"l",30,100,"Arimo-Bold",,,""
"type#typebox_background#typebox_border#typebox_glow",46,738,868,93,,"",,,"",,,""
"<buttons>,p",0,0,0,0,,"",,,"",,,""
"next#button_normal_text",795,1138,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"clear#button_normal_text",585,1138,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"prev#button_normal_text",375,1138,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"cancel_caps#button_highlight_text",164,1138,1,1,#E75828,"c",30,100,"Arimo-Bold",,,""
"</buttons>,p",0,0,0,0,,"",,,"",,,""
"<small_keys>,p",0,0,0,0,,"",,,"",,,""
"locked_tint#key_locked_text",210,877,1,1,#00FFFA,"c",24,100,"Arimo",,,""
"normal_tint#key_normal_text",150,877,1,1,#8E92AC,"c",24,100,"Arimo",,,""
"highlight_tint#key_highlight_text",90,877,1,1,#000000,"c",24,100,"Arimo",,,""
"</small_keys>,p",0,0,0,0,,"",,,"",,,""
"</tint_text>,p",0,0,0,0,,"",,,"",,,""
"<large_keys>,p",0,0,0,0,,"",,,"",,,""
"space",802,1040,75,17,,"",,,"",,,""
"shift",87,1034,64,27,,"",,,"",,,""
"enter",800,971,79,35,,"",,,"",,,""
"backspace",796,851,87,35,,"",,,"",,,""
"</large_keys>,p",0,0,0,0,,"",,,"",,,""
"small_on#key_highlight_background#key_highlight_border",63,840,55,55,,"",,,"",,,""
"keybutton_on#button_highlight_background#button_highlight_border",61,1102,208,50,,"",,,"",,,""
"shift_lock",87,1033,66,31,,"",,,"",,,""
"large_on#key_highlight_background#key_highlight_border",783,841,114,55,,"",,,"",,,""
"shift_on#key_locked_background#key_locked_border",63,1021,114,55,,"",,,"",,,""
"<art>,p",0,0,0,0,,"",,,"",,,""
"keybutton_off#button_normal_background#button_normal_border",692,1102,208,50,,"",,,"",,,""
"large_off#key_normal_background#key_normal_border",783,1021,114,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",723,1020,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",663,1020,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",603,1020,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",543,1020,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",483,1020,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",423,1020,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",363,1020,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",303,1020,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",243,1020,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",183,1020,55,55,,"",,,"",,,""
"large_off#key_normal_background#key_normal_border",63,1021,114,55,,"",,,"",,,""
"keybutton_off#button_normal_background#button_normal_border",482,1102,208,50,,"",,,"",,,""
"large_off#key_normal_background#key_normal_border",783,961,114,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",723,960,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",663,960,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",603,960,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",543,960,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",483,960,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",423,960,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",363,960,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",303,960,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",243,960,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",183,960,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",123,960,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",63,960,55,55,,"",,,"",,,""
"keybutton_off#button_normal_background#button_normal_border",272,1102,208,50,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",843,900,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",783,900,55,55,,"",,,"",,,""
