layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,960,1280,
"<values>,p",0,0,0,0,,"",,,"",,,""
"value10#button_normal_text",805,939,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value9#button_normal_text",805,881,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value8#button_normal_text",805,823,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value7#button_normal_text",805,765,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value6#button_normal_text",805,707,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value5#button_normal_text",805,649,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value4#button_normal_text",805,591,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value3#button_normal_text",805,533,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"value2#button_highlight_locked",805,475,1,1,#00FFFA,"r",30,100,"Arimo-Bold",,,""
"value1#button_normal_text",805,417,1,1,#8E92AC,"r",30,100,"Arimo-Bold",,,""
"</values>,p",0,0,0,0,,"",,,"",,,""
"<labels>,p",0,0,0,0,,"",,,"",,,""
"button10#button_normal_text",152,939,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"button9#button_normal_text",152,881,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"button8#button_normal_text",152,823,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"button7#button_normal_text",152,765,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"button6#button_normal_text",152,707,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"button5#button_normal_text",152,649,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"button4#button_normal_text",152,591,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"button3#button_normal_text",152,533,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"button2#button_highlight_locked",152,475,1,1,#00FFFA,"l",30,100,"Arimo-Bold",,,""
"button1#button_normal_text",152,417,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"button0#button_highlight_text",465,359,1,1,#E75828,"c",30,100,"Arimo-Bold",,,""
"</labels>,p",0,0,0,0,,"",,,"",,,""
"<art>,p",0,0,0,0,,"",,,"",,,""
"button10,p",101,905,755,50,,"",,,"",,,""
"button9,p",101,847,755,50,,"",,,"",,,""
"button8,p",101,789,755,50,,"",,,"",,,""
"button7,p",101,731,755,50,,"",,,"",,,""
"button6,p",101,673,755,50,,"",,,"",,,""
"button5,p",101,615,755,50,,"",,,"",,,""
"button4,p",101,557,755,50,,"",,,"",,,""
"button3,p",101,499,755,50,,"",,,"",,,""
"button2,p",101,441,755,50,,"",,,"",,,""
"wide_off#button_normal_background#button_normal_border",101,383,755,50,,"",,,"",,,""
"wide_on#button_highlight_background#button_highlight_border",101,325,755,50,,"",,,"",,,""
"</art>,p",0,0,0,0,,"",,,"",,,""
"frame,p",99,323,759,634,,"",,,"",,,""
"settings$wifi_menu_assets",25,296,906,688,,"",,,"",,,""
"fader,r",0,0,960,1280,#80000000,"",,,"",,,""
"modal,p",0,0,0,0,,"",,,"",,,""
