layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,960,960,
"lock_aspect,p",465,465,30,30,,"",,,"",,,""
"body,p",180,261,598,21,,"",,,"",,,""
"body#backless_text_popup",186,295,1,1,#E75828,"l",30,100,"Arimo-Bold",,,""
"button_label_on#button_highlight_text",463,598,1,1,#E75828,"c",30,100,"Arimo-Bold",,,""
"button_label_off#button_normal_text",470,691,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"button_on#button_highlight_background#button_highlight_border",179,564,595,50,,"",,,"",,,""
"button_off#button_normal_background#button_normal_border",179,657,595,50,,"",,,"",,,""
"settings$theme_assets",26,142,900,678,,"",,,"",,,""
"fader,r",0,0,960,960,#80000000,"",,,"",,,""
