layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,960,960,
"lock_aspect,p",465,465,30,30,,"",,,"",,,""
"<show>,p",0,0,0,0,,"",,,"",,,""
"netcode,p",54,715,842,86,,"",,,"",,,""
"netcode#backless_text_popup",476,737,1,1,#808E92AC,"c",24,100,"Arimo",,,""
"<tint_text>,p",0,0,0,0,,"",,,"",,,""
"rollback_top#netcode_highlight_rollback,r",478,659,342,3,#FF0080FF,"",,,"",,,""
"rollback_tip#netcode_rollback,r",811,648,3,14,#FF0080FF,"",,,"",,,""
"rollback_right#netcode_highlight_rollback,r",817,659,3,11,#FF0080FF,"",,,"",,,""
"rollback_left#netcode_rollback,r",478,660,3,10,#FF0080FF,"",,,"",,,""
"input_delay_top#netcode_highlight_input_delay,r",133,659,342,3,#FFFF8000,"",,,"",,,""
"input_delay_right#netcode_highlight_variable,r",472,660,3,10,#FFFF8000,"",,,"",,,""
"input_delay_tip#netcode_input_delay,r",139,648,3,14,#FFFF8000,"",,,"",,,""
"input_delay_left#netcode_variable,r",133,659,3,11,#FFFF8000,"",,,"",,,""
"netcode_ping1#netcode_highlight_ping_off,r",143,676,8,16,#FF000000,"",,,"",,,""
"netcode_ping0#netcode_highlight_ping_on,r",135,676,8,16,#FFFFFFFF,"",,,"",,,""
"netcode_step,p",156,674,20,20,,"",,,"",,,""
"netcode#netcode_ping_off,r",133,674,20,20,#FFFFFFFF,"",,,"",,,""
"netcode_ping#netcode_ping_on",476,642,1,1,#FFFFFF,"l",24,100,"Arimo",,,""
"netcode_rollback#netcode_rollback",820,642,1,1,#0080FF,"r",24,100,"Arimo",,,""
"netcode_input_delay#netcode_input_delay",130,642,1,1,#FF8000,"l",24,100,"Arimo",,,""
"</tint_text>,p",0,0,0,0,,"",,,"",,,""
"netcode_on#button_highlight_background#button_highlight_border",99,610,755,99,,"",,,"",,,""
"netcode_off#button_normal_background#button_normal_border",99,610,755,99,,"",,,"",,,""
"</show>,p",0,0,0,0,,"",,,"",,,""
"<hide>,p",0,0,0,0,,"",,,"",,,""
"<tint_text>,p",0,0,0,0,,"",,,"",,,""
"show_netcode#button_highlight_text",463,654,1,1,#E75828,"c",30,100,"Arimo-Bold",,,""
"</tint_text>,p",0,0,0,0,,"",,,"",,,""
"wide_off#button_normal_background#button_normal_border",99,620,755,50,,"",,,"",,,""
"wide_on#button_highlight_background#button_highlight_border",99,620,755,50,,"",,,"",,,""
"show_normal#button_normal_text,r",465,635,30,30,#FFFFFFFF,"",,,"",,,""
"</hide>,p",0,0,0,0,,"",,,"",,,""
