layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,960,960,
"lock_aspect,p",465,465,30,30,,"",,,"",,,""
"ping#backless_text_ping",478,682,1,1,#EC443A,"c",30,100,"Arimo-Bold",,,""
"peer#backless_text_subpopup",478,298,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"<labels>,p",0,0,0,0,,"",,,"",,,""
"mute#button_normal_text",310,632,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"report#button_normal_text",310,584,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"block#button_normal_text",310,536,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"kick#button_normal_text",310,488,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"friend#button_normal_text",310,440,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"hide_lower#button_highlight_text",310,392,1,1,#E75828,"l",30,100,"Arimo-Bold",,,""
"</labels>,p",0,0,0,0,,"",,,"",,,""
"<buttons>,p",0,0,0,0,,"",,,"",,,""
"button6,p",242,603,470,38,,"",,,"",,,""
"button5,p",242,555,470,38,,"",,,"",,,""
"button4,p",242,507,470,38,,"",,,"",,,""
"button3,p",242,459,470,38,,"",,,"",,,""
"narrow_off#button_normal_background#button_normal_border",242,411,470,38,,"",,,"",,,""
"narrow_on#button_highlight_background#button_highlight_border",242,363,470,38,,"",,,"",,,""
"</buttons>,p",0,0,0,0,,"",,,"",,,""
"peer$theme_assets",207,233,538,491,,"",,,"",,,""
"modal,p",0,0,960,960,,"",,,"",,,""
