layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,960,960,
"lock_aspect,p",465,465,30,30,,"",,,"",,,""
"report#backless_text_subpopup",478,311,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"<labels>,p",0,0,0,0,,"",,,"",,,""
"cancel#button_normal_text",310,635,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"report2#button_normal_text",310,571,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"report1#button_normal_text",310,507,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"report0#button_highlight_text",310,443,1,1,#E75828,"l",30,100,"Arimo-Bold",,,""
"</labels>,p",0,0,0,0,,"",,,"",,,""
"<buttons>,p",0,0,0,0,,"",,,"",,,""
"button4,p",242,606,470,38,,"",,,"",,,""
"button3,p",242,542,470,38,,"",,,"",,,""
"narrow_off#button_normal_background#button_normal_border",242,478,470,38,,"",,,"",,,""
"narrow_on#button_highlight_background#button_highlight_border",242,414,470,38,,"",,,"",,,""
"</buttons>,p",0,0,0,0,,"",,,"",,,""
"peer$theme_assets",207,233,538,491,,"",,,"",,,""
"modal,p",0,0,960,960,,"",,,"",,,""
