layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,960,960,
"lock_aspect,p",465,465,30,30,,"",,,"",,,""
"voice_volume#backless_text_popup",470,795,1,1,#808E92AC,"c",24,100,"Arimo",,,""
"mute",752,550,22,24,,"",,,"",,,""
"unmute",754,550,18,24,,"",,,"",,,""
"visiting#backless_text_popup",470,488,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"<player>,p",0,0,0,0,,"",,,"",,,""
"signal3",784,550,36,24,,"",,,"",,,""
"signal2",784,550,36,24,,"",,,"",,,""
"signal1",784,550,36,24,,"",,,"",,,""
"signal0",784,550,36,24,,"",,,"",,,""
"<stations>,p",0,0,0,0,,"",,,"",,,""
"p4",186,552,19,19,,"",,,"",,,""
"p3",166,552,19,19,,"",,,"",,,""
"p2",146,552,19,19,,"",,,"",,,""
"p1",126,552,19,19,,"",,,"",,,""
"</stations>,p",0,0,0,0,,"",,,"",,,""
"</player>,p",0,0,0,0,,"",,,"",,,""
"<labels>,p",0,0,0,0,,"",,,"",,,""
"name#button_highlight_locked",470,571,1,1,#00FFFA,"c",30,100,"Arimo-Bold",,,""
"exit#button_normal_text",470,407,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"status#button_normal_text",470,324,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"hide#button_highlight_text",463,241,1,1,#E75828,"c",30,100,"Arimo-Bold",,,""
"</labels>,p",0,0,0,0,,"",,,"",,,""
"<art>,p",0,0,0,0,,"",,,"",,,""
"next_player,p",99,620,755,50,,"",,,"",,,""
"player,p",99,537,755,50,,"",,,"",,,""
"exit,p",99,373,755,50,,"",,,"",,,""
"wide_off#button_normal_background#button_normal_border",99,290,755,50,,"",,,"",,,""
"wide_on#button_highlight_background#button_highlight_border",99,207,755,50,,"",,,"",,,""
"</art>,p",0,0,0,0,,"",,,"",,,""
"settings$theme_assets",26,142,900,678,,"",,,"",,,""
"fader,r",0,0,960,960,#80000000,"",,,"",,,""
