layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
,,,960,960,
"lock_aspect,p",465,465,30,30,,"",,,"",,,""
"visibility#backless_text_subpoup",478,378,1,1,#8E92AC,"c",30,100,"Arimo-Bold",,,""
"visibility2",312,566,27,27,,"",,,"",,,""
"visibility1",312,502,27,27,,"",,,"",,,""
"visibility0",312,438,27,27,,"",,,"",,,""
"<labels>,p",0,0,0,0,,"",,,"",,,""
"visible2#button_normal_text",352,590,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"visible1#button_normal_text",352,526,1,1,#8E92AC,"l",30,100,"Arimo-Bold",,,""
"visible0#button_highlight_text",352,462,1,1,#E75828,"l",30,100,"Arimo-Bold",,,""
"</labels>,p",0,0,0,0,,"",,,"",,,""
"<buttons>,p",0,0,0,0,,"",,,"",,,""
"button3,p",242,561,470,38,,"",,,"",,,""
"narrow_off#button_normal_background#button_normal_border",242,497,470,38,,"",,,"",,,""
"narrow_on#button_highlight_background#button_highlight_border",242,433,470,38,,"",,,"",,,""
"</buttons>,p",0,0,0,0,,"",,,"",,,""
"subpopup$theme_assets",208,295,538,369,,"",,,"",,,""
"modal,p",0,0,960,960,,"",,,"",,,""
